time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010451800000	7.37487	20.3281	5.13607	3.50846	0.457109	lidar	17464.5	7.18029	20.392	7.45939	20.4237	-4.61975	-1.7717
1477010451850000	7.13492	20.2345	5.12338	3.52776	0.447535	radar	6679.97	7.09214	20.1196	7.22939	20.3326	-4.58448	-1.87399
1477010451900000	6.86758	20.1509	5.18068	3.5379	0.431701	lidar	16958.2	6.81542	20.1859	7.00119	20.2364	-4.54738	-1.97462
1477010451950000	6.63663	20.0615	5.14473	3.55255	0.417836	radar	6689.87	6.89359	20.1536	6.7749	20.1352	-4.50854	-2.07357
1477010452000000	6.39391	19.9681	5.15678	3.56742	0.410502	lidar	16489.5	6.38914	20.0137	6.55059	20.0292	-4.46805	-2.17079
1477010452050000	6.17449	19.8754	5.12804	3.58595	0.410712	radar	6721.7	6.67637	20.2142	6.32834	19.9183	-4.42598	-2.26625
1477010452100000	5.91174	19.7808	5.1842	3.59274	0.393155	lidar	15976.7	5.86119	19.8306	6.10823	19.8027	-4.38241	-2.35993
1477010452150000	5.67037	19.6364	5.27393	3.63133	0.433711	radar	6418.96	5.28178	19.5036	5.89034	19.6824	-4.33744	-2.45178
1477010452200000	5.5216	19.5067	5.11665	3.6736	0.462039	lidar	15530.6	5.69089	19.5755	5.67472	19.5577	-4.29114	-2.5418
1477010452250000	5.32039	19.3576	5.10259	3.70877	0.480101	radar	6159.75	5.9506	18.9859	5.46145	19.4284	-4.24359	-2.62995
1477010452300000	5.11615	19.2538	5.06545	3.72265	0.469056	lidar	15127.1	5.17021	19.4397	5.25059	19.2948	-4.19488	-2.71622
1477010452350000	4.93533	19.1414	4.93622	3.73609	0.444655	radar	6277.25	5.87397	19.301	5.04219	19.157	-4.1451	-2.80059
1477010452400000	4.78874	18.9894	4.84152	3.77811	0.471682	lidar	14375.1	4.89149	18.982	4.8363	19.015	-4.09432	-2.88305
